item_id,order_id,product_id,quantity,unit_price,discount_percent
1,475,280,5,5872.67,72
2,248,361,3,2966.97,88
3,41,73,5,5904.46,99
4,144,239,5,5356.01,11
5,126,242,1,3304.3,74
6,160,314,1,3279.94,1
7,241,233,5,3507.7,42
8,216,181,3,356.66,76
9,384,156,5,3831.41,74
10,87,294,1,1856.76,94
11,320,14,3,891.9,9
12,436,402,3,3752.42,35
13,440,132,1,3682.36,75
14,379,78,4,1176.09,100
15,359,121,4,3235.22,4
16,176,44,2,4957.08,63
17,386,212,4,2725.08,81
18,86,108,5,2168.69,82
19,136,387,1,2864.49,60
20,155,244,5,4148.53,49
21,243,135,2,2693.2,36
22,475,409,4,1996.78,67
23,350,490,1,3258.07,45
24,490,433,4,3964.59,34
25,172,139,3,1643.76,74
26,201,237,2,3594.04,24
27,267,173,2,211.88,1
28,426,35,1,3222.8,87
29,229,180,2,1623.59,4
30,13,318,1,3625.71,27
31,487,307,1,851.87,77
32,67,193,5,1230.9,14
33,357,95,3,4013.8,9
34,328,233,3,4199.5,85
35,395,395,3,4717.28,35
36,398,32,4,5976.36,33
37,490,417,3,555.98,25
38,313,202,2,784.32,69
39,394,221,2,771.56,56
40,367,133,1,561.91,93
41,129,398,-4,3061.55,83
42,328,1,1,1708.65,89
43,169,464,4,3164.99,98
44,252,245,4,4407.44,100
45,36,277,-2,5731.81,99
46,247,63,5,5950.87,42
47,350,156,4,5982.54,82
48,47,188,5,2139.37,58
49,390,393,3,1183.22,5
50,496,197,2,2432.11,13
51,323,353,3,5328.5,56
52,377,98,2,298.38,75
53,123,251,4,3312.23,39
54,256,274,4,246.05,43
55,29,173,1,1388.32,83
56,342,268,4,5240.67,68
57,77,380,5,571.4,94
58,73,251,1,5520.41,5
59,125,360,-2,3851.07,39
60,421,407,1,1148.53,75
61,33,419,1,3630.62,78
62,113,33,2,4897.4,94
63,348,206,3,4151.92,69
64,71,165,2,3619.55,42
65,33,62,3,2578.65,89
66,190,284,2,5565.2,5
67,69,52,5,1072.86,62
68,42,4,1,671.48,83
69,304,455,3,4873.36,98
70,244,355,2,3892.98,66
71,231,211,2,3721.65,4
72,306,93,4,664.92,100
73,155,179,-4,1528.49,15
74,272,49,5,4602.6,69
75,260,113,4,4007.06,35
76,28,100,1,4158.68,60
77,255,91,2,402.23,82
78,187,146,2,2105.62,97
79,233,23,1,5560.44,22
80,81,403,1,828.98,30
81,370,228,5,2601.54,95
82,347,460,3,794.28,29
83,51,122,4,2346.86,28
84,38,242,5,5359.36,18
85,111,476,5,2415.88,17
86,235,369,2,5857.0,25
87,172,66,1,498.96,17
88,57,437,4,1151.53,43
89,113,454,3,4768.85,81
90,488,314,2,3383.62,29
91,45,211,5,5974.64,75
92,243,429,4,4420.6,94
93,447,127,2,3539.88,75
94,485,77,5,2593.97,5
95,21,241,5,3257.06,61
