order_id,customer_id,order_date,status,region_code
1,468,2024-07-13 02:07:46,CANCELLED,EAST
2,264,2026-08-04 12:20:26,PLACED,EAST
3,207,2025-07-14 13:13:13,RETURNED,NORTH
4,449,2026-03-24 08:06:18,PLACED,SOUTH
5,0,2026-02-23 11:54:38,DELIVERED,SOUTH
6,422,2024-12-22 22:50:59,CANCELLED,NORTH
7,124,2026-02-16 15:30:05,RETURNED,WEST
8,446,2024-12-15 06:59:31,RETURNED,EAST
9,429,2025-03-11 19:37:22,PLACED,EAST
10,0,2025-03-29 00:00:00,RETURNED,SOUTH
11,332,2025-08-21 06:22:44,SHIPPED,EAST
12,263,2025-11-20 00:00:00,PLACED,WEST
13,332,2025-10-24 18:55:03,PLACED,SOUTH
14,413,2025-04-29 16:50:38,DELIVERED,WEST
15,437,2025-08-15 19:59:36,DELIVERED,SOUTH
16,347,2025-04-11 19:24:44,RETURNED,WEST
17,4,2026-02-26 21:01:27,DELIVERED,EAST
18,56,2026-02-07 16:50:02,DELIVERED,EAST
19,442,2025-10-13 10:07:49,DELIVERED,SOUTH
20,392,2025-07-14 11:28:55,PLACED,WEST
21,349,2025-08-07 11:10:02,PLACED,WEST
22,133,2025-04-30 19:57:57,CANCELLED,WEST
23,299,2026-03-28 18:03:38,RETURNED,SOUTH
24,366,2025-08-19 16:34:22,RETURNED,WEST
25,344,2024-12-12 11:20:49,DELIVERED,SOUTH
26,449,2026-02-18 07:07:38,DELIVERED,NORTH
27,380,2025-10-06 23:18:44,RETURNED,SOUTH
28,461,2026-04-27 19:31:59,PLACED,SOUTH
29,382,2025-12-31 14:48:22,CANCELLED,EAST
30,300,2026-05-06 18:01:25,PLACED,WEST
31,325,2025-11-03 00:01:25,RETURNED,NORTH
32,100,2026-11-05 07:21:13,CANCELLED,EAST
33,446,2025-08-16 07:13:05,SHIPPED,SOUTH
34,292,2025-07-13 14:55:02,CANCELLED,SOUTH
35,367,2025-08-28 18:42:01,PLACED,WEST
36,91,2025-02-23 14:41:44,PLACED,NORTH
37,108,2024-11-25 14:03:25,SHIPPED,SOUTH
38,391,2024-10-31 21:37:25,SHIPPED,WEST
39,207,2026-07-04 20:58:18,CANCELLED,WEST
40,0,2025-02-17 21:45:56,DELIVERED,NORTH
41,388,2026-11-05 01:09:23,SHIPPED,NORTH
42,321,2025-06-27 15:18:52,SHIPPED,EAST
43,53,2024-11-08 03:47:26,RETURNED,EAST
44,422,2024-11-07 00:00:00,DELIVERED,WEST
45,306,2026-06-19 06:38:10,CANCELLED,SOUTH
46,462,2024-07-29 16:02:24,SHIPPED,SOUTH
47,471,2024-07-11 11:27:06,PLACED,SOUTH
48,68,2025-02-18 23:41:07,PLACED,SOUTH
49,365,2025-05-31 01:09:10,PLACED,WEST
50,131,2025-06-04 05:32:57,RETURNED,NORTH
51,25,2026-06-07 19:39:45,PLACED,NORTH
52,214,2025-01-29 08:57:14,PLACED,EAST
53,79,2024-11-20 10:42:19,PLACED,EAST
54,52,2026-03-27 00:33:37,DELIVERED,SOUTH
55,461,2024-02-08 15:15:28,RETURNED,NORTH
56,402,2024-11-27 11:48:11,SHIPPED,SOUTH
57,426,2026-06-19 21:41:17,SHIPPED,EAST
58,152,2024-10-21 01:50:35,RETURNED,WEST
59,353,2026-01-23 05:33:11,DELIVERED,SOUTH
60,0,2025-05-27 15:39:15,PLACED,WEST
61,47,2024-04-12 14:00:51,PLACED,NORTH
62,330,2026-01-01 02:30:18,DELIVERED,EAST
63,52,2025-05-18 16:13:32,PLACED,EAST
64,347,2025-12-01 18:52:59,PLACED,NORTH
65,456,2026-04-21 00:00:00,SHIPPED,SOUTH
66,458,2026-02-25 12:30:51,RETURNED,EAST
67,48,2025-10-15 16:45:17,DELIVERED,SOUTH
68,205,2026-01-21 16:20:25,DELIVERED,WEST
69,245,2025-03-20 02:08:44,SHIPPED,NORTH
70,372,2026-12-05 04:18:10,SHIPPED,NORTH
