product_id,product_name,category,subcategory,cost_price
1,Biography,Books,Biography,3284.2
2,Fan,Home,Fan,1651.64
3,Science Book,Books,SCIENCE BOOK,3192.69
4,Table,Home,Table,582.37
5,Mouse,Electronics,MOUSE,241.84
6,Chair,Home,Chair,813.29
7,Science Book,Books,Science Book,957.84
8,Science Book,Books,Science Book,2957.47
9,Shoes,Clothing,Shoes,3367.52
10,Biography,Books,Biography,2264.48
11,Curtains,Home,Curtains,3482.54
12,Biography,Books,BIOGRAPHY,2467.72
13,Shoes,Clothing,Shoes,4964.19
14,Chair,Home,Chair,1444.95
15,Keyboard,Electronics,Keyboard,4524.38
16,T-Shirt,Clothing,T-Shirt,1031.65
17,Fan,Home,Fan,3436.19
18,Kurta,Clothing,KURTA,293.17
19,Novel,Books,Novel,541.65
20,Sofa,Home,Sofa,747.58
21,Curtains,Home,Curtains,906.27
22,Biography,Books,Biography,664.33
23,Mobile,Electronics,Mobile,3413.99
24,Science Book,Books,Science Book,168.2
25,Mouse,Electronics,Mouse,1384.59
26,Comics,Books,Comics,1245.73
27,Keyboard,Electronics,Keyboard,4584.75
28,Kurta,Clothing,KURTA,4556.0
29,Fan,Home,Fan,4736.68
30,Lamp,Home,LAMP,2733.98
31,Cookbook,Books,Cookbook,3512.77
32,Science Book,Books,Science Book,2132.93
33,Speaker,Electronics,Speaker,4762.46
34,Smart Watch,Electronics,Smart Watch,4757.72
35,Chair,Home,Chair,4518.31
36,Chair,Home,Chair,698.58
37,Novel,Books,Novel,3026.02
38,Laptop,Electronics,Laptop,717.03
39,Shirt,Clothing,Shirt,2973.28
40,Jacket,Clothing,Jacket,3020.31
41,Table,Home,Table,4012.72
42,Smart Watch,Electronics,Smart Watch,1855.39
43,T-Shirt,Clothing,T-Shirt,356.76
44,Science Book,Books,SCIENCE BOOK,2296.55
45,Curtains,Home,Curtains,1185.59
46,Smart Watch,Electronics,Smart Watch,2655.11
47,Comics,Books,Comics,2447.01
48,Cookbook,Books,Cookbook,4557.53
49,Laptop,Electronics,Laptop,718.34
50,Lamp,Home,Lamp,2323.21
51,Novel,Books,Novel,3308.09
52,Shoes,Clothing,Shoes,1760.76
53,Cookbook,Books,Cookbook,2191.14
54,Sofa,Home,Sofa,2423.91
55,Speaker,Electronics,SPEAKER,3748.49
56,Table,Home,Table,2851.77
57,Fan,Home,FAN,3360.17
58,Comics,Books,COMICS,1631.0
59,Keyboard,Electronics,Keyboard,2462.73
60,Headphones,Electronics,Headphones,3836.77
61,Shoes,Clothing,Shoes,4110.29
62,Keyboard,Electronics,Keyboard,1410.49
63,Jacket,Clothing,Jacket,1765.14
64,Mobile,Electronics,Mobile,2063.84
65,Kurta,Clothing,Kurta,3755.95
66,Shoes,Clothing,Shoes,1913.26
67,Curtains,Home,Curtains,862.34
68,Smart Watch,Electronics,SMART WATCH,2177.67
69,Cookbook,Books,Cookbook,657.71
70,Novel,Books,Novel,2484.5
71,Chair,Home,Chair,368.43
72,Jacket,Clothing,Jacket,3844.39
73,Sofa,Home,SOFA,2210.21
74,Shoes,Clothing,Shoes,2837.75
75,Chair,Home,Chair,2237.48
76,Novel,Books,Novel,2909.66
77,Biography,Books,BIOGRAPHY,1691.36
78,Comics,Books,Comics,4237.97
79,Shoes,Clothing,Shoes,2039.26
80,Fan,Home,Fan,923.85
81,Keyboard,Electronics,Keyboard,1811.94
82,Jeans,Clothing,JEANS,950.15
83,Kurta,Clothing,KURTA,3176.95
84,Science Book,Books,Science Book,4628.36
85,Fan,Home,Fan,2397.71
86,Sofa,Home,Sofa,463.53
87,Cookbook,Books,COOKBOOK,1506.68
88,Keyboard,Electronics,Keyboard,2943.61
89,Mouse,Electronics,Mouse,1022.37
90,Science Book,Books,SCIENCE BOOK,607.16
91,Fan,Home,FAN,291.8
92,Cookbook,Books,Cookbook,1883.1
93,Lamp,Home,Lamp,3029.64
94,Chair,Home,Chair,1994.16
95,Fan,Home,Fan,3053.23
96,Jacket,Clothing,JACKET,4592.06
97,Fan,Home,Fan,3015.7
98,Headphones,Electronics,Headphones,1709.54
99,Kurta,Clothing,Kurta,4986.1
100,Smart Watch,Electronics,Smart Watch,189.33
101,Table,Home,Table,3854.17
102,Jeans,Clothing,Jeans,1549.38
103,Keyboard,Electronics,Keyboard,4430.04
104,Smart Watch,Electronics,Smart Watch,742.14
105,Dictionary,Books,DICTIONARY,3878.38
106,Kurta,Clothing,Kurta,3414.18
107,Shoes,Clothing,Shoes,3940.62
108,T-Shirt,Clothing,T-Shirt,3943.41
109,Jacket,Clothing,Jacket,2258.93
110,Lamp,Home,Lamp,894.09
111,T-Shirt,Clothing,T-SHIRT,3241.78
112,Curtains,Home,Curtains,2627.96
113,Headphones,Electronics,HEADPHONES,2301.66
114,Shoes,Clothing,SHOES,4101.85
115,Chair,Home,Chair,1932.41
116,Novel,Books,Novel,4661.05
